,obj,rxz,rxy,ryz,ty,tz,s,bg_id,size,var,_id,filename,id,category,rxz_semantic,rxy_semantic,ryz_semantic,image_dldata_index
0,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,01c0425e982e4edc276fe5373dbf8e5e49bd9a16,256,V0,01c0425e982e4edc276fe5373dbf8e5e49bd9a16_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_01c0425e982e4edc276fe5373dbf8e5e49bd9a16_256x256.png,f1ae7c2160c6cbb309b940a0dc127a8aa1060e5d,Fruits,0.0,-0.0,-0.0,0
1,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,1ab7a705f57d772a0203141ad42742e874f42099,256,V0,1ab7a705f57d772a0203141ad42742e874f42099_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_1ab7a705f57d772a0203141ad42742e874f42099_256x256.png,691384450355c07ad084613a08a018ae8e1eebb2,Fruits,0.0,-0.0,-0.0,1
2,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,813820d67a6fe96bc9167070d85dd6258e9b0b47,256,V0,813820d67a6fe96bc9167070d85dd6258e9b0b47_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_813820d67a6fe96bc9167070d85dd6258e9b0b47_256x256.png,fe9cd029e43ebdeeb509b61db1573a8286d06e6a,Fruits,0.0,-0.0,-0.0,2
3,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32,256,V0,838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_838fc10ae4d5aecb22595ca7e1aba67fd0fd9c32_256x256.png,c766632574f6d86f0a048f2e5817826c1888699b,Fruits,0.0,-0.0,-0.0,3
4,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,8c1ccb3fbdd6cfb27854f387225380a16774cddc,256,V0,8c1ccb3fbdd6cfb27854f387225380a16774cddc_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_8c1ccb3fbdd6cfb27854f387225380a16774cddc_256x256.png,7edd311b0ef7a9e61c62c6cbc2b3cfc2b5b6ea9d,Fruits,0.0,-0.0,-0.0,4
5,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,951b335db74ae6fe585793c10bdb4f4f7e575213,256,V0,951b335db74ae6fe585793c10bdb4f4f7e575213_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_951b335db74ae6fe585793c10bdb4f4f7e575213_256x256.png,3a2e8aeaae50f81d1d4fc716969bd2c8e169b9d9,Fruits,0.0,-0.0,-0.0,5
6,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,c2b55fcbfb5e6769968c0bc4926aefdd8f6755cb,256,V0,c2b55fcbfb5e6769968c0bc4926aefdd8f6755cb_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_c2b55fcbfb5e6769968c0bc4926aefdd8f6755cb_256x256.png,5cde85cc63e677623c606ebf6d21a6b028b50baf,Fruits,0.0,-0.0,-0.0,6
7,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,e1d5280fbc674a151e0754384341289624ace974,256,V0,e1d5280fbc674a151e0754384341289624ace974_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_e1d5280fbc674a151e0754384341289624ace974_256x256.png,7cc53b502f4edb4c80316733868a33894016aa53,Fruits,0.0,-0.0,-0.0,7
8,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,ecd4021e3ae23c18874c31e02e3a9c7d9ed15203,256,V0,ecd4021e3ae23c18874c31e02e3a9c7d9ed15203_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_ecd4021e3ae23c18874c31e02e3a9c7d9ed15203_256x256.png,c01fd13e140ad955d7ce56c365f6c0d850c0abbb,Fruits,0.0,-0.0,-0.0,8
9,Apple_Fruit_obj,0.0,-0.0,-0.0,0.0,0.0,1.0,fa331deba6de048889c4f5abca7e18bf049d13d6,256,V0,fa331deba6de048889c4f5abca7e18bf049d13d6_V0,/braintree/home/jjpr/.skdata/HvMWithDiscfade_6eef6648406c333a4035cd5e60d0bf2ecf2606d7/Variation00_20110203/Apple_Fruit_obj_rx-90.000_ry+00.000_rz+00.000_tx+00.000_ty+00.000_s+00.700_fa331deba6de048889c4f5abca7e18bf049d13d6_256x256.png,202e13540b85d535b6fcabe430647ec11dcc67a5,Fruits,0.0,-0.0,-0.0,9
