trial_type,session,run,subject_id,trial_id,stimulus,concept
train,1,1,1,0,dog_12s.jpg,dog
train,1,1,1,1,mango_12s.jpg,mango
train,1,1,1,2,spatula_12s.jpg,spatula
test,1,1,1,3,candelabra_14s.jpg,candelabra
train,1,1,1,4,panda_12s.jpg,panda
test,1,1,1,5,pacifier_14s.jpg,pacifier
train,1,1,1,6,crayfish_12s.jpg,crayfish
train,1,1,1,7,shirt_12s.jpg,shirt
train,1,1,1,8,chicken_wire_12s.jpg,chicken_wire
test,1,1,1,9,mango_13s.jpg,mango
train,1,1,1,10,cow_12s.jpg,cow
train,1,1,1,11,bib_12s.jpg,bib
train,1,1,1,12,altar_12s.jpg,altar
train,1,1,1,13,beaker_12s.jpg,beaker
train,1,1,1,14,knife_12s.jpg,knife
train,1,1,1,15,wheelchair_12n.jpg,wheelchair
train,1,1,1,16,videocassette_12n.jpg,videocassette
train,1,1,1,17,lizard_12n.jpg,lizard
train,1,1,1,18,canoe_12s.jpg,canoe
test,1,1,1,19,cookie_15s.jpg,cookie
train,1,1,1,20,ukulele_12s.jpg,ukulele
train,1,1,1,21,stove1_12s.jpg,stove1
train,1,1,1,22,hammock_12s.jpg,hammock
train,1,1,1,23,dish_12s.jpg,dish
train,1,1,1,24,rat_12s.jpg,rat
test,1,1,1,25,blind_19s.jpg,blind
train,1,1,1,26,treadmill_12n.jpg,treadmill
train,1,1,1,27,gondola_12s.jpg,gondola
test,1,1,1,28,pear_13s.jpg,pear
train,1,1,1,29,drum_12s.jpg,drum
train,1,1,1,30,chess_piece_12s.jpg,chess_piece
train,1,1,1,31,zucchini_12s.jpg,zucchini
train,1,1,1,32,asparagus_12s.jpg,asparagus
train,1,1,1,33,brush_12s.jpg,brush
train,1,1,1,34,wig_12s.jpg,wig
train,1,1,1,35,cardigan_12s.jpg,cardigan
test,1,1,1,36,butterfly_16n.jpg,butterfly
train,1,1,1,37,necklace_12s.jpg,necklace
train,1,1,1,38,drawer_12s.jpg,drawer
train,1,1,1,39,shovel_12s.jpg,shovel
train,1,1,1,40,banana_12s.jpg,banana
test,1,1,1,41,cow_16n.jpg,cow
train,1,1,1,42,lego_12s.jpg,lego
train,1,1,1,43,washboard_12s.jpg,washboard
test,1,1,1,44,kimono_14s.jpg,kimono
train,1,1,1,45,breadbox_12s.jpg,breadbox
train,1,1,1,46,squeegee_12n.jpg,squeegee
train,1,1,1,47,teapot_12s.jpg,teapot
train,1,1,1,48,fudge_12s.jpg,fudge
train,1,1,1,49,mirror_12s.jpg,mirror
train,1,1,1,50,chip_12s.jpg,chip
train,1,1,1,51,forklift_12s.jpg,forklift
train,1,1,1,52,coleslaw_12s.jpg,coleslaw
train,1,1,1,53,pot_12s.jpg,pot
train,1,1,1,54,pogo_stick_12s.jpg,pogo_stick
train,1,1,1,55,blender_12s.jpg,blender
train,1,1,1,56,shield_12s.jpg,shield
train,1,1,1,57,sunroof_12s.jpg,sunroof
train,1,1,1,58,ping-pong_table_12s.jpg,ping-pong_table
train,1,1,1,59,blackberry_12s.jpg,blackberry
train,1,1,1,60,sweatsuit_12s.jpg,sweatsuit
train,1,1,1,61,garter_12s.jpg,garter
train,1,1,1,62,snake_12s.jpg,snake
train,1,1,1,63,scissors_12s.jpg,scissors
train,1,1,1,64,granola_12s.jpg,granola
train,1,1,1,65,hairpin_12n.jpg,hairpin
train,1,1,1,66,stapler_12s.jpg,stapler
train,1,1,1,67,clipboard_12s.jpg,clipboard
train,1,1,1,68,cranberry_12s.jpg,cranberry
train,1,1,1,69,blind_12s.jpg,blind
train,1,1,1,70,radiator_12s.jpg,radiator
train,1,1,1,71,raccoon_12n.jpg,raccoon
